SM TRATORES LTDA;CNPJ: 02.367.369/0001-62;NIRE: 31205375095;
FILIAL: Todas;SINTÉTICA INICIAL: .  .  .  .  . .;SINTÉTICA FINAL: 9.99.99.99.99.9.;DATA: 25/09/2025 HORA: 10:41:29;
PERÍODO DE: 01/05/2021 A 31/05/2021;NÍVEL: 9  DIÁRIO:     0 INCLUI CONTAS INTEGRADAS?: Não;
BALANCETE MENSAL:  DA FILIAL UNAI;

Código;Descrição da conta;Saldo anterior;Débito;Crédito;Saldo atual;
2.03.02;RESERVAS DE INCENTIVOS FISCAIS;6200000,00;0;0;6200000,00;
2.03.02.01;RESERVAS DE INCENTIVOS FISCAIS;6200000,00;0;0;6200000,00;
903102;RESERVAS DE CAPITAL;6200000,00;0;0;6200000,00;
2.03.03;RESERVAS DE LUCROS;-16329045,34;0;0;-16329045,34;
2.03.03.01;RESERVAS DE LUCROS;-16329045,34;0;0;-16329045,34;
903107;LUCRO DO EXERCICIO;3412306,71;0;0;3412306,71;
903108;(-) PREJUIZO DO EXERCICIO;-19741352,05;0;0;-19741352,05;
2.03.04;AJUSTES DE EXERCICIOS ANTERIORES;-42977,68;0;0;-42977,68;
909498;AJUSTES DE EXERCÍCIOS ANTERIORES;-42977,68;0;0;-42977,68;
2.04;RESULTADO DO EXERCICIO;192159,76;0;0;192159,76;
2.04.01;SALDO DO EXERCICIO;192159,76;0;0;192159,76;
903109;RESULTADO DO EXERCICIO;192159,76;0;0;192159,76;
3;CONTAS DE RESULTADOS;77835,50;15392080,11;-16203702,98;889458,37;
3.01;RECEITA  OPERACIONAL;21966078,06;3361275,82;-15002123,11;33606925,35;
3.01.01;RECEITAS BRUTAS DE VENDAS;24066493,88;0;-13749615,62;37816109,50;
3.01.01.01;RECEITAS COM VENDAS DE MERCADORIAS;23768082,74;0;-13607410,60;37375493,34;
903113;VENDA DE COLHEITADEIRAS MASSEY;8064040,00;0;-2886000,00;10950040,00;
903119;VENDA DE IMPLEMENTOS NOVOS;2374659,00;0;-2351964,27;4726623,27;
903123;VENDA DE LUBRIFICANTES;95261,25;0;-14682,90;109944,15;
909491;VENDA DE LUBRIFICANTES AGCO;506628,69;0;-112426,08;619054,77;
903120;VENDA DE MAQUINAS USADOS;1544500,93;0;-1130000,00;2674500,93;
903115;VENDA DE PEÇAS MASSEY;2881953,47;0;-601197,34;3483150,81;
903117;VENDA DE PEÇAS OUTRAS;1260106,86;0;-265078,18;1525185,04;
903112;VENDA DE TRATORES MASSEY;5337800,00;0;-3290000,00;8627800,00;
